concept_id;level;level_name;label_fr;label_en;definition_fr;definition_en;source_biblio;parent_id;path_ids;path_labels;in_site;in_zthes;source_authority;scheme_url;n_children;n_synonyms;n_related;has_definition
001_02;4;terme;GRAND EST;GRAND EST;;;;001;0 > 00 > 001 > 001_02;Géographie > France > REGION FRANCAISE > GRAND EST;1;1;zthes;;0;6;0;0
001_04;4;terme;OCCITANIE;OCCITANIE;;;;001;0 > 00 > 001 > 001_04;Géographie > France > REGION FRANCAISE > OCCITANIE;1;1;zthes;;0;4;0;0
001_07;4;terme;PROVENCE ALPES COTE D'AZUR;PROVENCE ALPES COTE D'AZUR;PROVENCE-ALPES-COTE D'AZUR;;;001;0 > 00 > 001 > 001_07;Géographie > France > REGION FRANCAISE > PROVENCE ALPES COTE D'AZUR;1;1;zthes;;0;0;0;1
001_09;4;terme;CORSE;CORSICA;;;;001;0 > 00 > 001 > 001_09;Géographie > France > REGION FRANCAISE > CORSE;1;1;zthes;;0;0;0;0
001_16;4;terme;AUVERGNE-RHÔNE-ALPES;AUVERGNE-RHÔNE-ALPES;;;;001;0 > 00 > 001 > 001_16;Géographie > France > REGION FRANCAISE > AUVERGNE-RHÔNE-ALPES;1;1;zthes;;0;4;0;0
001_30;4;terme;NOUVELLE-AQUITAINE;NOUVELLE-AQUITAINE;;;;001;0 > 00 > 001 > 001_30;Géographie > France > REGION FRANCAISE > NOUVELLE-AQUITAINE;1;1;zthes;;0;6;0;0
001_44;4;terme;CENTRE-VAL DE LOIRE;CENTRE-VAL DE LOIRE;;;;001;0 > 00 > 001 > 001_44;Géographie > France > REGION FRANCAISE > CENTRE-VAL DE LOIRE;1;1;zthes;;0;2;0;0
001_57;4;terme;BOURGOGNE-FRANCHE-COMTE;BOURGOGNE-FRANCHE-COMTE;;;;001;0 > 00 > 001 > 001_57;Géographie > France > REGION FRANCAISE > BOURGOGNE-FRANCHE-COMTE;1;1;zthes;;0;4;0;0
001_60;4;terme;PAYS DE LA LOIRE;PAYS DE LA LOIRE;PAYS-DE-LA-LOIRE;PAYS-DE-LA-LOIRE;;001;0 > 00 > 001 > 001_60;Géographie > France > REGION FRANCAISE > PAYS DE LA LOIRE;1;1;zthes;;0;0;0;1
001_75;4;terme;ILE DE FRANCE;ILE DE FRANCE;ILE-DE-FRANCE;ILE-DE-FRANCE;;001;0 > 00 > 001 > 001_75;Géographie > France > REGION FRANCAISE > ILE DE FRANCE;1;1;zthes;;0;0;0;1
001_80;4;terme;BRETAGNE;BRITTANY;;;;001;0 > 00 > 001 > 001_80;Géographie > France > REGION FRANCAISE > BRETAGNE;1;1;zthes;;0;0;0;0
001_92;4;terme;NORMANDIE;NORMANDY;;;;001;0 > 00 > 001 > 001_92;Géographie > France > REGION FRANCAISE > NORMANDIE;1;1;zthes;;0;4;0;0
001_96;4;terme;HAUT-DE-FRANCE;HAUT-DE-FRANCE;;;;001;0 > 00 > 001 > 001_96;Géographie > France > REGION FRANCAISE > HAUT-DE-FRANCE;1;1;zthes;;0;4;0;0
002_00;4;terme;DOM TOM;DOM TOM;;;;002;0 > 00 > 002 > 002_00;Géographie > France > DOM TOM > DOM TOM;1;1;zthes;;0;0;0;0
002_05;4;terme;TERRES AUSTRALES ET ANTARCTIQUES;SOUTHERN AND ANTARCTIC LANDS;;;;002;0 > 00 > 002 > 002_05;Géographie > France > DOM TOM > TERRES AUSTRALES ET ANTARCTIQUES;1;1;zthes;;0;8;0;0
002_34;4;terme;ILE DE LA REUNION;REUNION ISLAND;;;;002;0 > 00 > 002 > 002_34;Géographie > France > DOM TOM > ILE DE LA REUNION;1;1;zthes;;0;10;0;0
002_37;4;terme;NOUVELLE CALEDONIE;NEW CALEDONIA;;;;002;0 > 00 > 002 > 002_37;Géographie > France > DOM TOM > NOUVELLE CALEDONIE;1;1;zthes;;0;12;0;0
002_44;4;terme;MAYOTTE;MAYOTTE;;;;002;0 > 00 > 002 > 002_44;Géographie > France > DOM TOM > MAYOTTE;1;1;zthes;;0;4;0;0
002_48;4;terme;WALLIS ET FUTUNA;WALLIS AND FUTUNA;;WALLIS ET FUTUNA;;002;0 > 00 > 002 > 002_48;Géographie > France > DOM TOM > WALLIS ET FUTUNA;1;1;zthes;;0;2;0;0
002_49;4;terme;POLYNESIE FRANCAISE;FRENCH POLYNESIA;;;;002;0 > 00 > 002 > 002_49;Géographie > France > DOM TOM > POLYNESIE FRANCAISE;1;1;zthes;;0;14;0;0
002_51;4;terme;GUYANE;FRENCH GUYANA;;GUYANA;;002;0 > 00 > 002 > 002_51;Géographie > France > DOM TOM > GUYANE;1;1;zthes;;0;0;0;0
002_61;4;terme;MARTINIQUE;MARTINIQUE;;;;002;0 > 00 > 002 > 002_61;Géographie > France > DOM TOM > MARTINIQUE;1;1;zthes;;0;0;0;0
