concept_id;label_fr;synonym;lang;relation;source
224_92;MEDIA SOCIAL;Blog;fr;altLabel;site_employe_pour
224_92;MEDIA SOCIAL;Wiki;fr;altLabel;site_employe_pour
224_92;MEDIA SOCIAL;Wiki;en;altLabel;zthes_UF
224_92;MEDIA SOCIAL;Blog;en;altLabel;zthes_UF
311_02;COLLECTIVITE TERRITORIALE;Collectivité locale;fr;altLabel;site_employe_pour
311_02;COLLECTIVITE TERRITORIALE;Pouvoir local;fr;altLabel;site_employe_pour
311_02;COLLECTIVITE TERRITORIALE;Local community;en;altLabel;zthes_UF
311_02;COLLECTIVITE TERRITORIALE;Local authority;en;altLabel;zthes_UF
311_11;DEFENSE;Armement;fr;altLabel;site_employe_pour
311_11;DEFENSE;Cyberdéfense;fr;altLabel;site_employe_pour
311_11;DEFENSE;Défense nationale;fr;altLabel;site_employe_pour
311_11;DEFENSE;Cyberdefence;en;altLabel;zthes_UF
311_11;DEFENSE;Weapony;en;altLabel;zthes_UF
311_11;DEFENSE;National defence;en;altLabel;zthes_UF
311_13;JUSTICE;Pouvoir judiciaire;fr;altLabel;site_employe_pour
311_13;JUSTICE;Judicial power;en;altLabel;zthes_UF
311_17;CORRUPTION;Prévarication;fr;altLabel;site_employe_pour
311_17;CORRUPTION;Corrupt practices;en;altLabel;zthes_UF
311_23;COLONIALITE;Décolonisation;fr;altLabel;zthes_UF
311_23;COLONIALITE;Décolonialité;fr;altLabel;zthes_UF
311_23;COLONIALITE;Decolonization;en;altLabel;zthes_UF
